City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.4,84,100,2.69,GS,1732566300
1,invercargill,-46.4,168.35,15.01,63,44,6.26,NZ,1732566279
2,puerto ayora,-0.7393,-90.3518,24.75,79,29,3.58,EC,1732565824
3,ribeira grande,38.5167,-28.7,19.32,94,75,4.63,PT,1732565606
4,uturoa,-16.7333,-151.4333,26.67,80,95,5.4,PF,1732565867
5,isafjordur,66.0755,-23.124,-4.53,81,7,4.99,IS,1732565569
6,iqaluit,63.7506,-68.5145,-16.15,71,75,4.12,CA,1732566353
7,waitangi,-43.9535,-176.5597,16.01,89,61,3.58,NZ,1732566271
8,novo aripuana,-5.1206,-60.3797,31.31,55,98,0.48,BR,1732566355
9,massawa,15.6097,39.45,27.93,64,100,4.09,ER,1732566356
10,hermanus,-34.4187,19.2345,16.56,73,100,9.12,ZA,1732566305
11,albany,42.6001,-73.9662,8.29,53,47,0.45,US,1732566060
12,tehachapi,35.1322,-118.449,10.45,87,92,3.13,US,1732566285
13,constitucion,-35.3333,-72.4167,17.68,64,0,5.43,CL,1732566177
14,puerto natales,-51.7236,-72.4875,17.25,42,75,6.69,CL,1732566363
15,adamstown,-25.066,-130.1015,22.4,77,30,7.94,PN,1732566320
16,wailua homesteads,22.0669,-159.378,26.18,75,0,5.14,US,1732566118
17,chadron,42.8294,-102.9999,0.82,69,0,1.54,US,1732566366
18,sitka,57.0531,-135.33,3.94,60,75,3.6,US,1732565922
19,kingston,17.997,-76.7936,28.53,74,75,9.26,JM,1732565814
20,port-aux-francais,-49.35,70.2167,3.33,91,100,13.21,TF,1732566308
21,blackmans bay,-43.0167,147.3167,14.07,93,51,1.12,AU,1732566313
22,margaret river,-33.95,115.0667,11.14,64,10,4.27,AU,1732566308
23,georgetown,5.4112,100.3354,25.97,89,20,1.54,MY,1732566135
24,egilsstadir,65.2653,-14.3948,-8.05,73,0,4.63,IS,1732566376
25,tingi,-11.3,35.0333,21.78,65,94,1.12,TZ,1732566377
26,constantia,44.1833,28.65,-1.62,54,0,3.38,RO,1732565914
27,broken hill,-31.95,141.4333,22.17,70,93,3.11,AU,1732565885
28,bredasdorp,-34.5322,20.0403,16.37,67,100,8.23,ZA,1732565802
29,sydney mines,46.2367,-60.2177,7.39,84,75,3.58,CA,1732566382
30,bereznik,62.8551,42.7072,1.16,83,100,6.82,RU,1732566383
31,sao luiz gonzaga,-28.4083,-54.9608,33.28,35,100,1.33,BR,1732566384
32,edinburgh of the seven seas,-37.0676,-12.3116,13.03,70,89,5.9,SH,1732566385
33,mount gambier,-37.8333,140.7667,15.18,96,26,2.23,AU,1732566388
34,qaqortoq,60.7167,-46.0333,-11.35,75,0,1.81,GL,1732565903
35,port lincoln,-34.7333,135.8667,17.96,92,79,5.24,AU,1732565998
36,hasaki,35.7333,140.8333,13.52,53,33,0.94,JP,1732565948
37,pishin,30.5803,66.9961,10.9,39,19,1.14,PK,1732566392
38,ushuaia,-54.8,-68.3,11.81,58,40,9.26,AR,1732566076
39,anadyr,64.75,177.4833,-14.72,85,100,5.0,RU,1732566394
40,lorengau,-2.0226,147.2712,27.58,82,100,3.81,PG,1732566187
41,tauranga,-37.6861,176.1667,19.18,79,100,2.24,NZ,1732566396
42,hammerfest,70.6634,23.6821,1.25,60,75,1.03,NO,1732566398
43,cole harbour,44.6724,-63.4751,6.09,84,75,10.29,CA,1732566399
44,bilibino,68.0546,166.4372,-34.8,99,40,1.35,RU,1732566400
45,chibougamau,49.9168,-74.3659,-1.21,100,40,1.54,CA,1732565882
46,tiksi,71.6872,128.8694,-17.67,59,41,9.43,RU,1732566402
47,olonkinbyen,70.9221,-8.7187,-3.05,61,100,7.92,SJ,1732566403
48,prineville,44.2999,-120.8345,7.73,70,100,2.57,US,1732566404
49,port alfred,-33.5906,26.891,20.66,88,100,3.58,ZA,1732565920
50,cabo san lucas,22.8909,-109.9124,28.17,41,40,3.09,MX,1732566002
51,lazaro cardenas,17.9583,-102.2,28.44,66,0,4.03,MX,1732566408
52,stephenville,32.2207,-98.2023,9.07,71,100,9.26,US,1732566365
53,kruisfontein,-34.0033,24.7314,17.22,84,100,7.38,ZA,1732566410
54,kailua-kona,19.6406,-155.9956,27.38,69,20,2.57,US,1732566266
55,xudat,41.631,48.681,7.66,82,100,4.06,AZ,1732566412
56,vernon,50.2581,-119.2691,2.09,84,100,1.54,CA,1732566119
57,ancud,-41.8697,-73.8203,12.1,80,77,5.6,CL,1732566346
58,hithadhoo,-0.6,73.0833,28.28,77,100,7.09,MV,1732566415
59,qamdo,31.1667,97.2333,-5.69,22,100,1.31,CN,1732566416
60,iron river,46.0927,-88.6423,-0.02,96,100,1.35,US,1732566418
61,utrik,11.2278,169.8474,28.35,82,13,8.98,MH,1732566419
62,belmonte,-15.8631,-38.8828,24.77,71,11,5.43,BR,1732566012
63,sao felix do xingu,-6.6447,-51.995,32.18,48,89,2.52,BR,1732566421
64,port elizabeth,-33.918,25.5701,19.62,91,20,8.75,ZA,1732566139
65,ta`u,-14.2336,-169.5144,27.3,79,77,4.87,AS,1732566139
66,west island,-12.1568,96.8225,26.99,94,75,9.26,CC,1732566424
67,st. john's,47.5649,-52.7093,7.21,96,100,2.57,CA,1732566203
68,taroa,8.7058,171.2275,28.22,80,100,8.67,MH,1732566426
69,susuman,62.7833,148.1667,-36.03,96,11,0.31,RU,1732566395
70,smithers,54.7804,-127.1743,-12.82,85,75,2.06,CA,1732565889
71,london,51.5085,-0.1257,8.97,75,0,5.14,GB,1732566280
72,kampene,-3.6,26.6667,21.44,92,86,0.85,CD,1732566431
73,grand-popo,6.2804,1.8225,27.77,74,57,4.35,BJ,1732566432
74,badger,64.8,-147.5333,-6.12,89,100,1.54,US,1732566433
75,somero,60.6167,23.5333,7.79,93,100,6.65,FI,1732566434
76,alotau,-10.3069,150.4462,24.86,92,86,0.82,PG,1732566435
77,essaouira,31.5125,-9.77,21.72,46,7,2.06,MA,1732566437
78,alice springs,-23.7,133.8833,22.75,83,0,3.09,AU,1732565942
79,fengxiang,47.5833,130.8333,-4.61,94,100,6.4,CN,1732566439
80,noumea,-22.2763,166.4572,22.87,93,97,5.04,NC,1732566416
81,kodinar,20.7903,70.7031,23.12,43,100,4.53,IN,1732566441
82,umiray,15.2206,121.4111,23.64,90,48,4.37,PH,1732566442
83,ilulissat,69.2167,-51.1,-1.99,86,75,5.14,GL,1732566443
84,afaahiti,-17.75,-149.2833,24.85,84,94,6.44,PF,1732565714
85,avarua,-21.2078,-159.775,26.03,78,20,2.06,CK,1732566301
86,ponta delgada,37.7333,-25.6667,19.4,82,75,6.69,PT,1732566449
87,bayanaul,50.7889,75.6956,-10.7,93,1,2.16,KZ,1732566450
88,porto novo,6.4965,2.6036,27.9,77,13,3.66,BJ,1732566451
89,fort bragg,35.139,-79.006,22.73,42,0,3.09,US,1732566356
90,covington,39.0837,-84.5086,17.35,81,100,5.66,US,1732566453
91,kirakira,-10.4544,161.9205,28.09,79,87,1.68,SB,1732566177
92,guelmim,28.987,-10.0574,25.19,16,5,6.17,MA,1732566456
93,papatowai,-46.5619,169.4708,13.51,67,42,7.23,NZ,1732565888
94,flying fish cove,-10.4217,105.6791,27.47,78,100,1.65,CX,1732566217
95,altus,34.6381,-99.334,10.04,53,0,7.72,US,1732566459
96,savsat,41.2403,42.3611,-4.09,92,58,1.79,TR,1732566460
97,port mathurin,-19.6833,63.4167,24.61,78,9,7.62,MU,1732566461
98,aral,40.5156,81.2636,1.8,45,0,3.91,CN,1732566462
99,severo-yeniseyskiy,60.3725,93.0408,-6.53,94,98,4.41,RU,1732566463
100,bethel,41.3712,-73.414,10.68,49,14,1.34,US,1732566120
101,palora,-1.7,-77.9333,30.06,71,23,1.15,EC,1732566466
102,luderitz,-26.6481,15.1594,15.75,86,8,7.51,NA,1732566468
103,uspenskoye,44.8311,41.3927,2.4,99,100,0.15,RU,1732566469
104,lompoc,34.6391,-120.4579,18.34,69,100,6.69,US,1732566206
105,hamilton,39.1834,-84.5333,17.1,81,100,5.66,US,1732566329
106,fale old settlement,-9.3852,-171.2468,28.3,76,59,7.22,TK,1732566472
